Scenario,Type,Resid_Consistency (kPa),Resid_Meas (kPa)
calib_0,none,3.3695097943302983,0.5155538028624551
calib_1,none,3.346282890007627,2.0535811518280145
calib_2,none,3.408195925668757,5.454890319298044
fleet_norm_0,none,3.392317740923099,
fleet_norm_1,none,3.3415927825774223,
fleet_norm_2,none,3.409434077868913,
fleet_norm_3,none,3.3708721403863438,
fleet_norm_4,none,3.380377836281555,
fleet_fault_op,overpressure,51.13860802735292,
calib_fault_sensor,sensor_fault,3.390438357972641,22.66384230781628
